scaler_type,tau,omega_l2_reg,train_nll_final,eval_nll_learned,eval_nll_baseline,eval_nll_global,nll_improvement,nll_improvement_vs_global,omega_reg_term,omega_0_SYS_MEAN,omega_1_SYS_STD
none,10.0,0.1,18.58025550842285,12.012956085882628,4315.1961137762555,13.217167519804226,4303.183157690373,1.2042114339215981,0.1641543060541153,0.13802814483642578,0.052538804709911346
none,10.0,0.01,18.574003219604492,12.016404975111708,4315.1961137762555,13.217167519804226,4303.1797088011435,1.2007625446925179,0.01741679571568966,0.07633726298809052,0.05681198090314865
none,10.0,0.001,18.574005126953125,12.016446470351427,4315.1961137762555,13.217167519804226,4303.179667305904,1.200721049452799,0.0017383316298946738,0.07919882982969284,0.055856652557849884
none,10.0,0.0,18.573999404907227,12.017169801940847,4315.1961137762555,13.217167519804226,4303.178943974314,1.1999977178633792,0.0,0.07959216088056564,0.05571572482585907
none,10.0,1.0,18.7900390625,12.079606918558476,4315.1961137762555,13.217167519804226,4303.1165068576975,1.1375606012457506,0.9479582905769348,0.8172965049743652,0.04327259585261345
none,20.0,0.1,18.60369300842285,12.012560488668841,2521.2762060002633,13.217167519804226,2509.2636455115944,1.2046070311353851,0.10851361602544785,0.4771808385848999,0.09797453880310059
none,20.0,0.0,18.57401466369629,12.01550998310342,2521.2762060002633,13.217167519804226,2509.2606960171597,1.2016575367008056,0.0,0.15264105796813965,0.11189280450344086
none,20.0,0.01,18.574024200439453,12.01599336594488,2521.2762060002633,13.217167519804226,2509.2602126343186,1.2011741538593466,0.014959663152694702,0.15622055530548096,0.11268224567174911
none,20.0,0.001,18.574180603027344,12.01811089807354,2521.2762060002633,13.217167519804226,2509.2580951021896,1.199056621730687,0.001521757454611361,0.1401222050189972,0.11465493589639664
none,20.0,1.0,18.698049545288086,12.033348389964644,2521.2762060002633,13.217167519804226,2509.242857610299,1.1838191298395824,0.7832362651824951,0.9067796468734741,0.12061646580696106
standard,20.0,0.01,20.178237915039062,11.99636466526763,12.027312838872039,13.217167519804226,0.03094817360440949,1.220802854536597,0.25690758228302,5.809246063232422,2.6153724193573
standard,10.0,0.01,19.61469841003418,11.997372936631002,12.02674601857641,13.217167519804226,0.02937308194540833,1.2197945831732238,0.30980587005615234,6.053904056549072,3.3411145210266113
standard,5.0,0.01,19.19285011291504,12.003349893311146,12.02563188316336,13.217167519804226,0.022281989852213968,1.2138176264930802,0.23869691789150238,5.2168707847595215,3.47521710395813
standard,10.0,0.1,20.343372344970703,12.004878867821795,12.02674601857641,13.217167519804226,0.021867150754616205,1.2122886519824316,0.13297288119792938,2.1122560501098633,1.302979826927185
standard,5.0,0.1,19.781631469726562,12.004391524135647,12.02563188316336,13.217167519804226,0.02124035902771304,1.2127759956685793,0.2165953367948532,2.386439561843872,1.4911636114120483
standard,2.0,0.01,18.847915649414062,12.008425308265803,12.022479713661099,13.217167519804226,0.014054405395295788,1.2087422115384232,0.13371668756008148,4.040237903594971,3.035346031188965
standard,20.0,0.1,20.709360122680664,12.014517157170246,12.027312838872039,13.217167519804226,0.01279568170179246,1.20265036263398,0.05959675833582878,1.7482389211654663,1.1873893737792969
standard,2.0,0.1,19.17551040649414,12.011322182712522,12.022479713661099,13.217167519804226,0.011157530948576522,1.205845337091704,0.14643599092960358,2.075852632522583,1.551147699356079
standard,5.0,0.001,18.984146118164062,12.016134322833494,12.02563188316336,13.217167519804226,0.009497560329865706,1.201033196970732,0.06797312200069427,6.6000590324401855,7.101229667663574
standard,10.0,0.0,19.257692337036133,12.019116636192505,12.02674601857641,13.217167519804226,0.007629382383905536,1.198050883611721,0.0,8.329697608947754,9.114947319030762
standard,10.0,0.001,19.294361114501953,12.019182817862875,12.02674601857641,13.217167519804226,0.007563200713535778,1.1979847019413512,0.09915716201066971,8.095954895019531,8.063979148864746
standard,5.0,0.0,18.96039390563965,12.018841833898573,12.02563188316336,13.217167519804226,0.006790049264786546,1.1983256859056528,0.0,6.778932571411133,7.878403186798096
standard,20.0,0.0,19.712650299072266,12.020615390683286,12.027312838872039,13.217167519804226,0.00669744818875273,1.1965521291209402,0.0,9.54067325592041,9.647454261779785
standard,20.0,0.001,19.76624870300293,12.02102386936241,12.027312838872039,13.217167519804226,0.006288969509629538,1.196143650441817,0.11496178060770035,9.189722061157227,8.030524253845215
standard,1.0,0.1,18.88694190979004,12.013360141474644,12.018307900129141,13.217167519804226,0.0049477586544970364,1.2038073783295822,0.0809791311621666,1.7772718667984009,1.4512561559677124
minmax,1.0,0.0,19.570812225341797,11.990605317523665,11.99511882001914,13.217167519804226,0.004513502495475663,1.2265622022805616,0.0,8.796260833740234,10.171308517456055
minmax,2.0,0.001,20.083637237548828,11.991597085200103,11.995274933912823,13.217167519804226,0.003677848712719367,1.2255704346041227,0.09434040635824203,9.293947219848633,6.163437366485596
minmax,2.0,0.1,20.81801414489746,11.991764396126628,11.995274933912823,13.217167519804226,0.0035105377861945897,1.225403123677598,0.03939470648765564,1.6226693391799927,1.0629206895828247
minmax,20.0,0.01,21.023523330688477,11.992274831084405,11.99541593414234,13.217167519804226,0.003141103057934913,1.2248926887198213,0.003754095872864127,1.6115983724594116,1.0675785541534424
standard,2.0,1.0,19.510332107543945,12.01959264554832,12.022479713661099,13.217167519804226,0.0028870681127788345,1.1975748742559063,0.07246521860361099,1.2556493282318115,1.080297589302063
minmax,2.0,0.0,20.01730728149414,11.992418339578414,11.995274933912823,13.217167519804226,0.0028565943344087685,1.2247491802258121,0.0,9.718245506286621,10.392610549926758
standard,5.0,1.0,20.229446411132812,12.023242576528743,12.02563188316336,13.217167519804226,0.0023893066346172276,1.1939249432754835,0.04872021824121475,1.2141711711883545,1.0492228269577026
minmax,1.0,0.1,20.551902770996094,11.994864061981495,11.99511882001914,13.217167519804226,0.0002547580376450753,1.222303457822731,0.09406640380620956,1.9631868600845337,1.1179580688476562
minmax,5.0,0.0,20.51154327392578,11.995352603718343,11.995368940082754,13.217167519804226,1.6336364410562965e-05,1.2218149160858829,0.0,10.364542007446289,10.640154838562012
minmax,1.0,0.01,19.93848991394043,11.99518556235775,11.99511882001914,13.217167519804226,-6.674233861048151e-05,1.2219819574464754,0.26973745226860046,6.057992458343506,2.195385694503784
minmax,20.0,1.0,21.03241539001465,11.995584374631404,11.99541593414234,13.217167519804226,-0.000168440489064281,1.221583145172822,0.00014051263860892504,1.0038414001464844,0.9896515011787415
minmax,20.0,0.0,20.88726043701172,11.995644349739678,11.99541593414234,13.217167519804226,-0.00022841559733777217,1.2215231700645486,0.0,10.810456275939941,10.900320053100586
minmax,5.0,0.001,20.576446533203125,11.995864311159412,11.995368940082754,13.217167519804226,-0.000495371076658202,1.2213032086448141,0.07786358147859573,9.51361083984375,3.5502066612243652
minmax,10.0,0.1,21.012298583984375,11.995948700300348,11.995400326863733,13.217167519804226,-0.0005483734366151793,1.2212188195038784,0.0023914759512990713,1.151755928993225,1.0087143182754517
