gen_id,gen_type,Z_row_sum_mean,Z_row_sum_std,Z_row_sum_min,Z_row_sum_max,Z_row_abs_sum_mean,Z_row_abs_sum_max,Z_row_norm_mean,Z_row_norm_max
202_STEAM_3,THERMAL,-0.047979823442209614,0.12793172882738246,-0.4559737892678184,0.41104472547803617,0.0781859830049379,0.4559737892678184,0.04156869680689253,0.2599369395465629
202_STEAM_4,THERMAL,-0.04669109640651384,0.12842432553884875,-0.45597072188181226,0.4110447254861699,0.07856705858921535,0.45597072188181226,0.041795581934791784,0.25993668697590416
207_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212_CSP_1,THERMAL,-0.4426417051027584,0.6195322239529558,-1.9875110191233998,0.0,0.4426417051027584,1.9875110191233998,0.22182858958174723,0.9938155630044805
213_CC_3,THERMAL,-0.13621963428829195,0.33156935435373547,-1.8426974464846468,0.0,0.13621963428829195,1.8426974464846468,0.07088949940466326,0.9213487259460663
213_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215_CT_4,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215_CT_5,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216_STEAM_1,THERMAL,-0.2481685843897032,0.31767561231958796,-1.0211115493217735,0.0,0.24816858438973055,1.0211115493217735,0.12956878807848385,0.517036582736011
218_CC_1,THERMAL,-0.13660643872309308,0.5174702136979421,-3.0719394787228707,5.329070518200751e-15,0.13660643872402323,3.0719394787228707,0.06830492943568964,1.5359697413435436
221_CC_1,THERMAL,-0.06466105757743193,0.16440923854558648,-0.551847990457268,0.4838496299503759,0.09658337213830535,0.7333516542980911,0.05141720725487088,0.4791945071892352
223_CT_4,THERMAL,-1.7270135938613546e-15,1.0362081563168129e-14,-6.217248937900877e-14,0.0,7.648203058528856e-15,2.753353101070388e-13,5.544257658959947e-15,1.995932757225581e-13
223_CT_5,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223_CT_6,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223_STEAM_1,THERMAL,-0.24498978907600405,0.314253984937889,-0.9856979659504831,1.0315241411820339e-11,0.24498978907829658,0.9856979659504831,0.12671328909325985,0.5306518701242224
223_STEAM_2,THERMAL,-0.24506461318616843,0.3143040954826702,-0.9856979659504725,4.301416420847797e-11,0.24506461318973244,0.9856979659504725,0.12675070254735998,0.5306518701241452
223_STEAM_3,THERMAL,-0.14541866872481818,0.674371910746822,-2.1371965413575245,1.563753481211534,0.5881848209845961,4.542066259876703,0.32647559696525097,2.4980685004767844
301_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_3,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301_CT_4,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_3,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302_CT_4,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
